"name"	"point"	"route_str"
"Double Wickstead"	"500"	"jail_floor_02,main_ramp,ground_teleporter,jail_floor_02,main_ramp,ground_teleporter,jail_floor_02,t2_tower_platform"
"Escape to T1"	"500"	"jail_floor_02,main_ramp,t2_left_wing,awp_platform,t2_left_wing,main_ramp,spawn_roof_water"
"AssHOLE"	"500"	"healbot_platform,t2_right_hole,through_t2_back_right,behind_t2_tower_wedge,north_east_booster_platform"
"Courage"	"500"	"t2_right_box_2,t2_right_box_2,t2_left_box_1"
"Nlo Escape to AWP"	"500"	"nlo_platform,kevin_ramp,right_wedge,t2_left_wing,awp_platform"
"x3 Spawn Wrap from spawn "	"500"	"t_spawn,rear_spawn_ramp,behind_main_ramp_trigger,rear_spawn_ramp,behind_main_ramp_trigger,rear_spawn_ramp,behind_main_ramp_trigger,rear_spawn_ramp"
"MChicken"	"500"	"tower_platform,banana_ramp,main_ramp,hamburger_slant"
"Witchcraft"	"500"	"jail_wall_02,main_ramp,banana_ramp,awp_platform"
"Alien"	"500"	"jail_floor_02,main_ramp,ground_teleporter,jail_floor_02,section_ramp,nlo_platform"
"Hole trick"	"500"	"jail_floor_02,main_ramp,t2_left_wing,through_t2_back_left,t2_left_hole,t2_ladder"
"Butterfly from spawn"	"500"	"t_spawn,main_ramp,main_ramp,under_lower_boost,side_spawn_lower_platform"
"Pharmacy"	"500"	"tower_middle_plarform,tower_middle_ramp,triomino2,main_drag,through_t2_tower,t2_right_wing,healbot_platform"
"Ochko Lover"	"500"	"spawn_roof_platform,t1_middle_hole,t1_middle_ramp_lower,main_ramp,main_ramp,t_spawn"
"Dive"	"500"	"jail_floor_02,main_ramp,under_blunt,t2_center_down_ramp,throw_middle_awp"
"Double main to sign"	"500"	"jail_floor_02,main_ramp,ski_sign,main_blunt_ramp,ski_sign"
"Kano v2"	"500"	"jail_floor_02,main_ramp,section_ramp,ski_sign"
"Monkey Fall"	"500"	"telepad_derevo,telepad_t2_t1_ramp,telepad_jtct_ramp,t1_bezdna_lower"
"Spawn Spin"	"500"	"side_spawn_platform,lower_platform_push,side_spawn_platform,lower_platform_push,t1_middle_hole,behind_main_ramp_trigger,side_spawn_platform"
"Spawn Spin to Hole"	"500"	"side_spawn_platform,lower_platform_push,side_spawn_platform,lower_platform_push,behind_main_ramp_trigger,t1_middle_hole"
"El Primooo"	"500"	"bonus_platform,ramp_horn,ramp_horn,hamburger,ground_ramp,behind_mario_tower,elevator_mid_entrance"
"Sonic"	"500"	"gun_room,gun_room_ramp,through_t2_tower,triomino1,triomino2,ring,jail_floor_02"
"Bezdna mini rise"	"500"	"telepad,w_bezdna_lower_ramp,w_bezdna"
"Cursed Boulder"	"500"	"t2_tower_platform,t2_big_water_ramp,ct_scout_pad"
"King of ring"	"500"	"triomino3,triomino3,ring,main_ramp,ring,triomino2,ring,main_ramp,ring,middle_wing,awp_platform"
"AWP Delivery 4 stars"	"500"	"jail_floor_02,main_ramp,t2_left_wing,awp_platform,triomino2,main_ramp,spawn_roof_water"
"From the North"	"500"	"north_east_booster_platform,north_east_ramp,north_east_booster,long_ramp,rear_spawn_ramp,ring,triomino1,t2_tower_platform"
"reyteds redie route to ladder"	"500"	"ct_spawn,main_ramp,middle_wing,left_wedge,fish_hook_wedge,fish_ramp,behind_t2_tower_wedge,long_ramp,side_spawn_ladder"
"Fall and Rise"	"500"	"jail_floor_02,main_ramp,spawn_divide_top"
"Strange to Sign"	"500"	"jail_floor_02,main_ramp,sriracha,main_ramp,ski_sign"
"Trickstrafe"	"500"	"tower_platform,triomino2,tower_sign"
"Wrap Horizon"	"500"	"strafes_platform,main_ramp,flat_ramp,footlight_ramp,flat_ramp,prison_platform"
"Ocean is extremly homophobic"	"500"	"ct_spawn,t1_middle_hole,t1_middle_ramp_lower,gun_room"
"Turtle Wrap"	"500"	"left_wedge_tip,left_wedge,ground_ramp,ground_ramp_reverse,left_wedge"
"Generic Trick"	"500"	"long_ramp_slant,north_east_ramp,fish_ramp,fish_hook_wedge,elevator_mid_entrance"
"David Blaine"	"500"	"top_floor,main_ramp,sausage_ramp,prison_rail,prison_platform"
"Bowser"	"500"	"turtle_big_floor,turtle_small_ramp_2,turtle_small_ramp_1,cage_side_ramp"
"Zapaska return"	"500"	"turtle_floor,moon_ramp,turtle_floor"
"LOST"	"500"	"north_east_ramp,main_blunt_ramp,under_t2_left_wing,tower_sign"
"Lake Jump to Bonus Cube"	"500"	"tower_base_water,triomino2,bonus_cube"
"Tricky"	"500"	"under_lower_boost,rear_spawn_ramp"
"God of Speed Return"	"500"	"section_slant,tower_top,section_slant"
"Swifty"	"500"	"long_ramp,under_blunt,triomino2"
"SpudOink Hole"	"500"	"long_ramp,main_drag,through_t2_tower,through_t2_back_left,t2_left_hole"
"Say my name..."	"500"	"telepad,behind_t2_tower_wedge,bonus_cube"
"Vacuum cleaner"	"500"	"elevator_exit,banana_hole,banana_ramp,long_ramp,jail_floor_02"
"Pacific Ocean Jump"	"500"	"telepad,tower_base_water"
"Triangle"	"500"	"north_east_booster,rear_spawn_ramp,tower_top"
"Grobovshik"	"500"	"grob_booster,long_ramp,t2_center_down_ramp,under_blunt,awp_ramp,t2_left_wing,t2_tower_platform"
"Brain damage"	"500"	"grob_booster,rear_spawn_ramp,behind_main_ramp_trigger,telepad_t2_t1_ramp,t1_middle_hole,t1_middle_ramp_lower,ct_spawn_hole_front"
"Oldrion"	"500"	"fish_booster_bigger,main_ramp,behind_main_ramp_trigger,ground_ramp_reverse,awp_tower_tip"
"Graphi"	"500"	"fish_booster_middle,throw_middle_awp,under_blunt,t2_center_down_ramp,through_t2_tower,under_blunt,t2_center_down_ramp"
"Cancer"	"500"	"fish_booster_bigger,triomino2,elevator_window_tip"
"Pro100"	"500"	"fish_booster,fish_mini_ramp,throw_middle_awp,middle_awp_platform,fish_ramp,behind_t2_tower_wedge,t2_right_wing,ski_sign"
"Melon"	"500"	"fish_booster,fish_mini_ramp,throw_middle_awp,triomino1,triomino2,elevator_mid_entrance"
"A trick SirGrown can do"	"525"	"tower_platform,banana_ramp,t2_right_wing,behind_long_ramp,long_ramp,rear_spawn_ramp,behind_main_ramp_trigger,right_wedge"
"Perfect wing V2"	"525"	"jail_floor_02,main_ramp,t2_left_wing,north_east_booster_platform"
"Boneshock"	"550"	"tower_top,left_wedge,awp_platform"
"Lucifer"	"550"	"jail_floor_02,main_ramp,main_ramp,behind_main_ramp_trigger,middle_wing"
"Hard luckY journey"	"550"	"jail_floor_02,main_ramp,awp_ramp,triomino2,middle_wing,main_drag,through_t2_tower,t2_right_wing,main_blunt_ramp,middle_wing,right_wedge,t2_right_wing,t2_tower_platform"
"Hard Wrath"	"550"	"long_ramp_slant,kevin_ramp,keith_ramp,t2_right_box_2"
"Sock"	"550"	"t_spawn,rear_spawn_ramp,behind_main_ramp_trigger,main_ramp,right_wedge,long_ramp,gun_room"
"A trip to Healbot"	"550"	"gun_room,gun_room_ramp,through_t2_tower,t2_left_wing,t2_right_wing,healbot_ramp,healbot_sign"
"Holy Horizon"	"550"	"jail_floor_02,main_ramp,main_ramp,ct_spawn_slant,hamburger"
"Nix"	"550"	"tower_platform,banana_ramp,section_slant,rear_spawn_ramp,triomino2,triomino1,t2_tower_platform"
"A trip to canifis pub"	"550"	"bonus_platform,sriracha,left_wedge,fish_hook_wedge,awp_platform,fish_ramp,fish_hook_wedge,elevator_mid_entrance"
"Hard Mug"	"550"	"long_ramp_slant,long_ramp,rear_spawn_ramp,main_ramp,main_ramp,t_spawn_water"
"CC Paranoia"	"550"	"tower_platform,banana_ramp,main_ramp,behind_main_ramp_trigger,rear_spawn_ramp,behind_main_ramp_trigger,main_ramp,banana_ramp,triomino2,main_ramp,behind_main_ramp_trigger,rear_spawn_ramp,t_spawn_teleporter,t_spawn,sriracha,spawn_roof_water"
"Wake Up"	"550"	"t2_center_platform,through_t2_tower,t2_center_down_ramp,under_blunt,through_t2_tower,t2_center_down_ramp,under_blunt,center_wedge_platform"
"350 points"	"550"	"long_ramp_slant,kevin_ramp,t2_right_wing,t2_tower_platform"
"Awp mini rise"	"550"	"center_wedge_platform,main_wings,main_drag,through_t2_tower,behind_t2_tower_wedge,fish_mini_ramp,throw_middle_awp"
"Chihuahua Euphoria"	"550"	"t_spawn,main_ramp,right_wedge,behind_t2_tower_wedge,fish_ramp,awp_ramp,t2_left_wing,ski_sign"
"Kairat Nurtas"	"550"	"t2_ladder,healbot_ramp,t2_right_wing"
"High Falos Return"	"550"	"tower_floor,faucet_ramp,faucet_ramp,tower_platform"
"Hard Straxa net"	"550"	"fish_booster_bigger,left_wedge,ring,t1_middle_hole,t1_middle_ramp_lower,ring,triomino2,healbot_sign"
"Guts"	"550"	"t2_boost,t2_through,t2_boost"
"Anime return"	"600"	"tower_top,banana_ramp,banana_ramp,banana_hole,tower_platform"
"Hard Zyzz v2"	"600"	"tower_platform,banana_ramp,section_ramp,jail_wall_02"
"Mind the cracks"	"600"	"mini_ramp_spine,mini_ramp02,sriracha,jail_floor_02"
"Mini Flight"	"600"	"t2_tower_platform,awp_ramp,tower_run_up_w"
"Woodcutter"	"600"	"jail_wall_02,main_ramp,long_ramp,t2_right_box_1"
"Merastorm"	"600"	"mini_ramp_spine,mini_ramp02,hamburger,jail_floor_02"
"Facade Spin"	"600"	"jail_wall_02,rear_spawn_ramp,behind_main_ramp_trigger,side_spawn_lower_platform,rear_spawn_ramp,middle_wing"
"High Merastorm"	"600"	"mini_ramp_spine,mini_ramp02,hamburger,jail_wall_02"
"Pot noodle"	"600"	"awp_platform,triomino1,fish_hook_wedge,fish_ramp,behind_t2_tower_wedge,through_t2_back_right,through_t2_front_right,main_drag,main_wings,main_ramp,side_spawn_platform"
"Cyplenkov"	"600"	"tower_top,left_wedge,middle_wing,t2_tower_platform"
"Cthulhu"	"600"	"t2_tower_platform,t2_right_wing,main_ramp,rear_spawn_ramp,main_ramp,main_drag,gun_room_ramp"
"Hadouken!"	"600"	"jail_floor_02,main_ramp,left_wedge,banana_ramp"
"Big Gulps"	"600"	"mini_ramp_spine,mini_ramp02,rear_spawn_ramp,ct_spawn_hole_back,ct_spawn_hole_front"
"CC Hard T2-Spin"	"600"	"jail_floor_02,main_ramp,main_drag,through_t2_tower,t2_right_wing,through_t2_front_left,through_t2_back_left,t2_left_wing,main_drag,through_t2_tower,t2_right_wing,healbot_sign"
"Fox Hound"	"600"	"jail_floor_02,sriracha,triomino2,main_blunt_ramp,right_wedge,main_ramp,behind_main_ramp_trigger,main_ramp,telepad"
"Vertex"	"600"	"gun_room,gun_room_ramp,through_t2_tower,awp_ramp,awp_platform"
"bogroll Rise"	"600"	"awp_platform,triomino1,triomino2,left_wedge,elevator_mid_entrance"
"Genesis"	"600"	"ski_sign,through_t2_front_right,through_t2_back_right,behind_t2_tower_wedge,fish_ramp,awp_ramp,triomino1,triomino2,middle_wing,center_wedge_platform"
"Soggy toe"	"600"	"tower_platform,fish_hook_wedge,fish_ramp,behind_t2_tower_wedge,fish_ramp,awp_ramp,t2_left_wing,t2_tower_platform"
"Walk the plank"	"600"	"t2_right_box_2,healbot_ramp,fish_ramp,fish_hook_wedge,elevator_mid_entrance"
"Cool"	"600"	"spawn_roof_water,main_ramp,right_wedge,t2_right_wing,keith_ramp"
"Vampire Diaries"	"600"	"long_ramp_slant,kevin_ramp,t2_right_wing,right_wedge,main_ramp,spawn_roof_water"
"Gun Walk"	"600"	"gun_room,main_drag,through_t2_front_right,through_t2_back_right,behind_t2_tower_wedge,fish_ramp,awp_ramp,triomino1,triomino2,middle_wing,center_wedge_platform"
"Odisseo Trip"	"600"	"t_spawn,rear_spawn_ramp,main_ramp,middle_wing,left_wedge,elevator_mid_entrance"
"Nifps Rise"	"600"	"healbot_platform,keith_ramp,t2_right_wing,main_blunt_ramp,middle_wing,left_wedge,elevator_mid_entrance"
"Climb that mountain"	"600"	"t_spawn,main_ramp,long_ramp,kevin_ramp"
"Hard snurbs revolution"	"600"	"tower_platform,banana_ramp,triomino2,sriracha,section_slant,healbot_platform"
"Spiffid"	"600"	"tower_platform,banana_ramp,t2_tower_platform,t2_right_wing,t2_left_wing,through_t2_back_right,through_t2_front_right,main_ramp,rear_spawn_ramp,main_ramp,main_drag,gun_room_ramp,gun_room"
"Lovely Jubbly"	"600"	"jail_floor_02,main_ramp,under_t2_right_wing,behind_t2_tower_wedge,fish_ramp,under_awp,triomino1"
"Wickstead"	"600"	"jail_floor_02,main_ramp,ground_teleporter,jail_floor_02,t2_left_wing"
"Around The World"	"600"	"tower_platform,banana_ramp,long_ramp,behind_long_ramp,fish_ramp,triomino2,rear_spawn_ramp,long_ramp,healbot_sign"
"Nakid"	"600"	"ski_sign,main_drag,main_wings,middle_wing,left_wedge,elevator_mid_entrance"
"Zolomon spin "	"600"	"jail_floor_02,main_ramp,main_ramp,t1_middle_hole,t1_middle_ramp_lower,t_spawn_hole_front,gun_room"
"Swoop"	"600"	"t_spawn,main_ramp,middle_wing,left_wedge,t2_big_water_outskirts"
"Immersion into the abyss"	"600"	"ct_spawn,main_ramp,main_blunt_ramp,t1_bezdna_lower"
"AWP but Spawn Rise"	"600"	"center_wedge_platform,main_wings,main_drag,t2_center_platform,through_t2_tower,t2_center_down_ramp,under_blunt,main_ramp,ct_spawn"
"AKAK"	"600"	"spawn_roof_water,main_ramp,middle_wing,left_wedge,tower_middle_ramp"
"Ring Rise"	"600"	"bonus_platform,sriracha,ring,main_ramp,jail_wall_02"
"de3 t0 spawn r00f"	"600"	"nlo_platform,long_ramp,w_bezdna_lower_ramp,behind_spawn,main_ramp,main_ramp,spawn_roof_water"
"xpuctoc rise"	"600"	"tower_top,banana_ramp,long_ramp,behind_long_ramp,fish_ramp,healbot_platform"
"Retro Spawn Knot"	"600"	"t_spawn,main_ramp,main_blunt_ramp,main_ramp,t_spawn_hole_front,main_ramp,main_blunt_ramp,main_ramp,t_spawn"
"GT 500"	"600"	"tower_platform,banana_ramp,main_blunt_ramp,fish_ramp,fish_hook_wedge,behind_mario_tower,triomino2,triomino1,t2_tower_platform"
"Vital Rise"	"600"	"mini_ramp_spine,mini_ramp02,t1_middle_hole,t1_middle_ramp_lower,behind_spawn,main_ramp,ski_sign"
"Like G"	"600"	"flat_platform,flat_ramp,flat_platform"
"Climber"	"600"	"spawn,main_ramp,t2_ladder"
"Needle"	"600"	"tower_platform,lain_ramp,flat_ramp,prison_hole"
"nlo rise"	"600"	"tower_platform,banana_ramp,healbot_ramp,nlo_platform"
"Prisoner Escape"	"600"	"prison_floor,corner_ramp,b_ramp,pathetic_ramp,t2_high_water"
"T2 Banana Walk"	"600"	"tower_platform,faucet_ramp,turtle_inner_ramp,turtle_inner_ramp,turtle_small_ramp_2,t2_floor"
"Papaya"	"600"	"strafes_platform,main_ramp,spawn_through,pillar_floor"
"Blessed"	"600"	"top_floor,main_ramp,corner_ramp,b_ramp,a_ramp,turtle_small_floor"
"Trixter"	"600"	"turtle_floor,turtle_hole,turtle_inner_ramp,a_ramp,snip_ramp,turtle_aside_ramp,turtle_floor"
"Flail"	"600"	"turtle_bags,turtle_inner_ramp,turtle_inner_ramp,subway_ramp,snorkel_right_ramp,snorkel_left_ramp,turtle_floor"
"To the MOON"	"600"	"tower_base_water,fish_hook_wedge,bonus_cube"
"Nubbzy.xyz"	"600"	"fish_booster_middle,throw_middle_awp,under_blunt,t2_center_down_ramp,t2_left_wing,t2_tower_platform"
"Tree Garden"	"600"	"fish_booster_bigger,t2_left_wing,banana_ramp,tower_derevo"
"Pinchy Minchy"	"600"	"fish_booster_middle,throw_middle_awp,under_blunt,t2_center_down_ramp,t2_big_water_ramp,main_blunt_ramp,ski_sign"
"Strawberry"	"600"	"fish_booster,fish_mini_ramp,behind_t2_tower_wedge,behind_long_ramp,long_ramp,side_spawn_platform"
"elf centrum"	"625"	"jail_floor_02,main_ramp,t2_left_wing,healbot_ramp,healbot_sign"
"Watermelon"	"625"	"t_spawn,main_ramp,rear_spawn_ramp,main_ramp,through_t2_front_right,through_t2_back_right,behind_t2_tower_wedge,north_east_booster_platform"
"NStrafe v2"	"650"	"ski_sign,through_t2_front_right,through_t2_back_right,behind_t2_tower_wedge,triomino1"
"Vak Telehop V2"	"650"	"t_spawn,main_ramp,right_wedge,long_ramp,j_teleporter,rear_spawn_ramp,behind_main_ramp_trigger,main_ramp,main_ramp,jail_floor_02"
"Blue Partyhat"	"650"	"bonus_platform,sriracha,triomino2,triomino1,t2_right_wing,t2_left_wing,main_ramp,ct_spawn_hole_front,ct_spawn_hole_back,behind_spawn,gun_room"
"Fuckade"	"650"	"jail_wall_02,rear_spawn_ramp,main_ramp,through_t2_front_right,through_t2_back_right,behind_t2_tower_wedge,fish_ramp,awp_ramp,t2_left_wing,ski_sign"
"Double escape to AWP"	"650"	"jail_floor_02,main_ramp,t2_left_wing,awp_platform,t2_left_wing,awp_platform"
"Wrath v2"	"650"	"long_ramp_slant,kevin_ramp,keith_ramp,t2_right_hole"
"Far Pounce"	"650"	"jail_floor_02,main_ramp,throw_middle_awp,middle_awp_platform"
"Spawn Hole Splash"	"650"	"spawn_roof_water,main_ramp,main_ramp,t_spawn_hole,t1_ladder"
"Double Trouble"	"650"	"jail_floor_02,main_ramp,triomino1,under_awp,triomino1,triomino1,under_awp,triomino1"
"Unconventional"	"650"	"awp_platform,triomino1,triomino2,middle_wing,main_blunt_ramp,under_blunt,t2_big_water_outskirts,through_t2_front_left,through_t2_back_left,t2_big_water_outskirts,fish_ramp,triomino1"
"Soap Drop"	"650"	"prison,sausage_ramp,flat_platform"
"V7 PoXYZ"	"650"	"t2_high_water,t2_through,t2_high_water"
"Ninja Turtle"	"650"	"turtle_floor,snorkel_right_ramp,turtle_inner_ramp,turtle_floor"
"Oceanic Highlife"	"650"	"telepad,behind_main_ramp_trigger,middle_wing,bonus_cube"
"Hard Romashka twist"	"650"	"grob_booster,telepad_t2_t1_ramp,telepad_jtct_ramp,t1_right_rail"
"Wet Money"	"650"	"fish_booster_bigger,throw_middle_awp,triomino2,mario_room_teleport"
"Reverb"	"700"	"t_spawn,main_ramp,middle_wing,left_wedge,fish_hook_wedge,fish_ramp,behind_t2_tower_wedge,right_wedge,main_ramp,t_spawn"
"Bogroll Rise remix"	"700"	"awp_platform,triomino1,triomino2,left_wedge,triomino2,left_wedge,elevator_mid_entrance"
"Hard Nifps Walk"	"700"	"center_wedge_platform,main_blunt_ramp,middle_wing,triomino2,triomino1,awp_ramp,triomino1,triomino1,awp_ramp,behind_t2_tower_wedge"
"Mantis"	"700"	"tower_platform,banana_ramp,sriracha,mini_ramp02,t1_water"
"Danhee"	"700"	"bonus_platform,sriracha,long_ramp,triomino2,sriracha,jail_floor_02"
"Samurai"	"700"	"tower_top,banana_ramp,t2_left_wing,t2_right_wing,section_slant,gun_room"
"Triple Zolomon"	"700"	"jail_floor_02,main_ramp,main_ramp,t_spawn_hole_front,main_ramp,main_ramp,t_spawn_hole_front,main_ramp,main_ramp,t_spawn_hole_front,gun_room"
"Hard CC T2-Spin from spawn"	"700"	"t_spawn,main_ramp,main_drag,through_t2_tower,t2_right_wing,through_t2_front_left,through_t2_back_left,t2_left_wing,main_drag,through_t2_tower,t2_right_wing,healbot_sign,awp_platform"
"V Banana Return"	"700"	"tower_platform,banana_ramp,section_slant,banana_ramp,tower_platform"
"Hard Gun Return"	"700"	"gun_room,gun_room_ramp,through_t2_tower,t2_left_wing,main_drag,gun_room_ramp,gun_room_sign"
"Vitality"	"700"	"gun_room,gun_room_ramp,through_t2_tower,triomino1,section_ramp"
"Nifps Trip"	"700"	"tower_platform,left_wedge,middle_wing,main_blunt_ramp,right_wedge,long_ramp,kevin_ramp,keith_ramp,healbot_ramp,healbot_sign"
"Raptor"	"700"	"jail_wall_02,sriracha,banana_ramp,section_ramp,telepad"
"Syphax"	"700"	"t_spawn,main_ramp,long_ramp,behind_long_ramp,long_ramp,main_ramp,gun_room"
"Escape to AWP v2"	"700"	"jail_floor_02,main_ramp,t2_left_wing,t2_right_wing,t2_left_wing,awp_platform"
"Last hope"	"700"	"jail_floor_02,main_ramp,t2_left_wing,t2_right_wing,main_blunt_ramp,t2_right_wing,t2_tower_platform"
"Comparier"	"700"	"side_spawn_platform,lower_platform_push,behind_main_ramp_trigger,main_ramp,main_ramp,spawn_roof_water"
"Nlo Return"	"700"	"nlo_platform,kevin_ramp,main_drag,through_t2_tower,t2_left_wing,keith_ramp,nlo_platform"
"Despair path"	"700"	"section_ramp_tip,section_slant,t2_right_wing,tower_box"
"Strafe derevo"	"700"	"t2_tower_platform,long_ramp,telepad_derevo"
"x4 Spawn Wrap from spawn "	"700"	"t_spawn,rear_spawn_ramp,behind_main_ramp_trigger,rear_spawn_ramp,behind_main_ramp_trigger,rear_spawn_ramp,behind_main_ramp_trigger,rear_spawn_ramp,behind_main_ramp_trigger,rear_spawn_ramp"
"Hard pharmacy"	"700"	"tower_middle_plarform,tower_middle_ramp,triomino2,main_drag,through_t2_tower,t2_right_wing,healbot_sign"
"Centrum v2"	"700"	"jail_floor_02,main_ramp,t2_left_wing,t2_right_wing,t2_left_wing,t2_tower_platform"
"Bonus shortcut"	"700"	"jail_floor_02,main_ramp,ground_teleporter,jail_floor_02,main_ramp,ground_teleporter,jail_floor_02,section_slant,bonus_platform"
"Easy Aurora"	"700"	"tower_platform,banana_ramp,main_blunt_ramp,rear_spawn_ramp,sriracha,jail_floor_02"
"Boris Gotcha Fish"	"700"	"fish_hook_wedge,fish_hook_wedge,fish_ramp,fish_booster,fish_hook_wedge,elevator_mid_entrance"
"Water Splash"	"700"	"tower_top,banana_ramp,long_ramp,sriracha,t_spawn_water"
"Roof Return"	"700"	"spawn_roof_water,main_ramp,main_ramp,spawn_roof_water"
"Double AWP Rise"	"700"	"center_wedge_platform,main_wings,main_drag,t2_center_platform,through_t2_tower,fish_ramp,awp_platform,fish_ramp,awp_platform"
"Empty"	"700"	"spawn_roof_water,main_ramp,t2_left_wing,t2_right_wing,main_blunt_ramp,t2_left_wing,throw_middle_awp,middle_awp_platform"
"LEONCHIK 10 BANOK"	"700"	"mini_ramp_spine,mini_ramp02,t1_middle_hole,t1_middle_ramp_lower,rear_spawn_ramp,long_ramp,t2_tower_platform"
"Hard Jail Strafe to Roof"	"700"	"jail_floor_02,sriracha,main_ramp,main_ramp,sriracha,hamburger,spawn_roof_platform"
"Super Cool"	"700"	"spawn_roof_water,main_ramp,right_wedge,t2_right_wing,kevin_ramp"
"Weird Return"	"700"	"jail_floor_02,main_ramp,main_drag,gun_room_ramp,through_t2_tower,t2_tower_platform,main_ramp,jail_floor_02"
"Rock it"	"700"	"jail_floor_02,main_ramp,behind_main_ramp_trigger,main_ramp,sriracha"
"Wooden Walk"	"700"	"ct_spawn,main_ramp,middle_wing,left_wedge,fish_hook_wedge,awp_ramp,triomino2,middle_wing,main_blunt_ramp,right_wedge,long_ramp,side_spawn_lower_platform"
"Hard Delf"	"700"	"tower_platform,banana_ramp,t1_ladder"
"Turtle Stretch"	"700"	"turtle_big_floor,turtle_small_ramp_1,pathetic_ramp"
"Pelmen"	"700"	"turtle_floor,turtle_hole,turtle_inner_ramp,turtle_inner_ramp,turtle_inner_ramp,turtle_floor"
"Ocean dream"	"700"	"fish_booster_middle,throw_middle_awp,under_blunt,t2_center_down_ramp,through_t2_tower,under_blunt,t2_center_down_ramp,main_blunt_ramp,ski_sign"
"Recicle"	"700"	"fish_booster_middle,throw_middle_awp,awp_ramp,left_wedge,ring,main_ramp,jail_floor_02"
"Yti Puti "	"700"	"fish_booster_bigger,left_wedge,ring,ramp_horn,rear_spawn_ramp,ring,triomino1,awp_platform"
"Ocean Getting Waavey"	"700"	"fish_booster_bigger,left_wedge,middle_wing,main_blunt_ramp,right_wedge,long_ramp,nlo_platform,long_ramp,long_ramp,nlo_platform,t2_right_wing"
"Deep Fishing"	"725"	"tower_platform,banana_ramp,awp_platform,fish_mini_ramp,awp_platform"
"Hard left right"	"750"	"awp_platform,triomino1,fish_hook_wedge,triomino1,fish_hook_wedge,awp_ramp,t2_big_water"
"A trip to Kevin Ramp"	"750"	"jail_floor_02,main_ramp,banana_ramp,left_wedge,middle_wing,main_blunt_ramp,right_wedge,long_ramp,kevin_ramp_tip"
"Son of Zeus"	"750"	"mini_ramp_spine,mini_ramp02,sriracha,main_ramp,awp_platform"
"Hard Cyclone"	"750"	"jail_floor_02,main_ramp,triomino1,under_awp,triomino1,triomino2,left_wedge,elevator_mid_entrance"
"AWP Rise hop"	"750"	"center_wedge_platform,main_wings,main_drag,t2_center_platform,through_t2_tower,fish_ramp,awp_platform,elevator_entrance"
"Exu Rise"	"750"	"mini_ramp_spine,mini_ramp02,sriracha,long_ramp,healbot_platform"
"Learning to Fly"	"750"	"bonus_platform,bonus_rear_slant,ramp_horn,jail_box_4"
"Blood & Bone"	"750"	"tower_top,banana_ramp,triomino2,mario_room_teleport"
"Frisbee throw"	"750"	"nlo_platform,kevin_ramp,t2_left_wing,t2_right_wing,awp_ramp,tower_sign"
"Cyclone v2"	"750"	"jail_floor_02,main_ramp,triomino1,under_awp,awp_ramp,behind_t2_tower_wedge"
"Cinder"	"750"	"t_spawn,main_ramp,middle_wing,left_wedge,fish_hook_wedge,awp_ramp,behind_t2_tower_wedge_t"
"Rari Rise"	"750"	"bonus_platform,sriracha,t2_left_wing,t2_right_wing,main_ramp,jail_floor_02"
"Raise my crown"	"750"	"t2_tower_platform,t2_left_wing,behind_t2_tower_wedge,t2_right_wing,ski_sign"
"I love ST"	"750"	"kevin_ramp_tip,long_ramp,middle_wing,left_wedge,elevator_mid_entrance"
"Kindred"	"750"	"turtle_big_floor,turtle_big_ramp,turtle_inner_ramp,snorkel_right_ramp,cage_side_ramp,main_ramp,spawn"
"Harder Wranger"	"750"	"grob_booster,behind_main_ramp_trigger,rear_spawn_ramp,t1_middle_hole,t1_middle_ramp_lower,telepad_t2_t1_ramp,main_blunt_ramp,t2_tower_platform"
"Risin up"	"775"	"mini_ramp_spine,mini_ramp02,rear_spawn_ramp,middle_wing,ski_sign"
"King Banana Return"	"775"	"tower_top,banana_ramp,long_ramp,banana_ramp,tower_platform"
"Trashman"	"775"	"spawn_roof_platform,t1_ladder,hamburger,ct_spawn_teleporter"
"V Zyzz"	"800"	"tower_top,banana_ramp,section_slant,jail_floor_02"
"Unleashed"	"800"	"long_ramp_slant,long_ramp,right_wedge,main_blunt_ramp,middle_wing,left_wedge,fish_ramp,behind_t2_tower_wedge,t2_right_wing,ski_sign"
"Wet bread"	"800"	"awp_platform,triomino1,main_blunt_ramp,right_wedge,long_ramp,gun_room"
"Centrum remix"	"800"	"jail_floor_02,main_ramp,through_t2_front_right,through_t2_back_right,t2_right_wing,t2_tower_platform"
"Exu walk"	"800"	"ski_sign,main_drag,main_wings,middle_wing,left_wedge,fish_hook_wedge,awp_ramp,triomino2,middle_wing,main_blunt_ramp,right_wedge,t2_right_wing"
"King Brainfuck"	"800"	"jail_wall_02,main_ramp,middle_wing,left_wedge,awp_platform"
"King V Banana Return"	"800"	"tower_top,banana_ramp,long_ramp,section_slant,banana_ramp,tower_platform"
"Fluffs Return"	"800"	"bonus_platform,ramp_horn,long_ramp,fish_ramp,triomino2,hamburger,mini_ramp02,bonus_rear_slant"
"Hard Cyplenkov"	"800"	"tower_top,left_wedge,middle_wing,t2_tower_water02"
"Lupkes"	"800"	"jail_floor_02,main_ramp,sriracha,t_spawn"
"Pro banana return"	"800"	"tower_platform,banana_ramp,banana_ramp,diddy_platform"
"eXy Rise"	"800"	"jail_wall_02,main_ramp,awp_ramp,t2_left_wing,reset"
"Hard Horse Shit Rise"	"800"	"ct_spawn,main_ramp,main_drag,through_t2_tower,fish_ramp,healbot_sign"
